20231005	08:05:39	07d61310-74c9-49a3-837c-a22f3dd7ab43	Log event emitted!
20231005	08:05:51	43c561f3-8d48-478a-aa6a-bce2d13ca526	Log event emitted!
20231005	08:14:21	99d7e661-0f0d-457e-acfd-ee7f3dc76ee2	Log event emitted!
20231005	08:14:35	50ec9a74-1e92-4d52-96ad-249a6ac469a4	Log event emitted!
20231005	08:14:39	95b8fd2d-c4bc-4a27-a925-1b620aa18dd8	Log event emitted!
20231005	08:14:44	174d810e-9795-4676-976b-1d2ec54e4bea	Log event emitted!
20231005	08:14:52	6e816894-b9b9-4326-aae0-c01f69880f92	Log event emitted!
20231005	10:53:26	5b2d7f02-8eef-492e-867e-d3d748334d2d	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	10:53:26	0134c366-ba5a-420c-8755-a646513e5926	/	GET
20231005	12:50:53	ee4b0d67-ce59-4bde-bd19-06111e36d234	/data/data.json	GET
20231005	12:51:01	1e688424-00f1-471e-bfeb-14935c54a940	/data/	GET
20231005	12:51:01	ee135be6-44b1-463f-97bb-98abaea410e1	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:51:06	a67e0c5f-3040-4fbe-929c-c78243f25f79	/	GET
20231005	12:51:06	b7aa8e0b-e9a9-4a5d-bd70-19fe43ad0d93	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:00	6c56942a-f045-4088-a314-98e11b2edc12	/	GET
20231005	12:52:00	0b8eee5d-d165-4912-9c96-c2dd64e64626	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:43	a7f688af-cc77-4598-9d17-521044d57a6d	/	GET
20231005	12:52:43	036d32d1-5643-43ba-b2f1-a8f017b0e2b6	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:44	3055d048-95ee-49ef-b633-dceba83018ec	/	GET
20231005	12:52:44	5a959283-c602-4eab-b1f7-9acf12ca625f	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:45	b0804262-a4de-4927-aaec-9cdef4894594	/	GET
20231005	12:52:45	1501a9d3-4fa8-4d35-8bbb-b6ca965b4dcc	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:52	1bca46c9-50d5-4718-9b0e-7b805f6a1814	/	GET
20231005	12:52:52	bdbb235d-11a1-4ca5-9a73-5e357c2af79c	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:59	aadb1f5c-f4ad-4132-b1c0-4bf719f096d3	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:52:59	2f87002f-ba91-474b-b22d-6ce9699c96a7	/	GET
20231005	12:53:16	89d4f424-446e-42d0-a3c2-7478a070acca	/	GET
20231005	12:53:16	8af899e8-4b3a-4ccf-bf39-ce7690970160	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:54:51	1538c866-4cb0-49e8-8193-2a83a386bfb8	/	GET
20231005	12:54:51	629ecfc3-5b6e-47fd-9c7a-bcc96fef4c84	/css/style.css	GET
20231005	12:54:51	2101e98a-e045-4491-a448-9a94002dc535	/favicon.ico	GET
20231005	12:56:55	02ab1697-78e2-4f07-a6a3-677f27df3f0f	/	GET
20231005	12:56:55	4acd40bc-46e1-4018-8801-af2062e39157	/css/style.css	GET
20231005	12:56:55	5730e71e-d780-4e86-a184-c0b080e973c9	/favicon.ico	GET
20231005	12:56:56	830f5302-a60e-454e-94bd-547cf3f6cd77	/	GET
20231005	12:56:56	7eeba25f-ed0d-4570-a8e8-a5086e7edb1b	/css/style.css	GET
20231005	12:56:58	82238d56-2c87-411d-9d7b-c011c23895b6	/css/style.css	GET
20231005	12:57:01	3e0eb7f7-e78f-40d5-8f37-0ebfa23cd9ab	/	GET
20231005	12:57:01	8d86d198-e7a3-4fc0-9c04-750407b64c37	/css/style.css	GET
20231005	12:57:11	05971025-cf98-49a0-9e46-0da0d6da3b56	/	GET
20231005	12:57:11	1c32f154-f091-4689-b68f-f9385d28ff4a	TypeError: Cannot read properties of undefined (reading 'includes')
20231005	12:57:23	56b0140c-24c4-4b25-97a2-3c52e13d58c9	/	GET
20231005	12:57:23	7c77760d-3eb2-4311-b746-6f777ddaa1bc	/css/style.css	GET
20231005	12:57:30	7d282bc0-08c8-4d8d-9a93-c6c34815be06	/new	GET
20231005	12:57:30	637a803f-0fe9-45ed-be83-e21f003417bc	/css/style.css	GET
20231005	12:57:37	421e5cc8-e3a0-46ca-a7a7-af38e4b6b287	/old	GET
20231005	12:57:37	9aa8c2e5-6a63-4046-a938-8f3708560a33	/css/style.css	GET
20231005	12:57:45	1f83cf09-91ae-4919-aa88-a1f9bb25c76f	/old	GET
20231005	12:57:45	6dba00e3-dc80-4737-a3a6-27da85f6567e	/css/style.css	GET
20231005	12:57:53	80e020d3-615c-4346-8c7b-b530c41471e0	/old	GET
20231005	12:57:53	e75c6cca-1221-4254-8c51-bbd0c17443c4	/css/style.css	GET
20231005	12:57:57	90db2a2d-0861-467d-816c-3f5abf9eb1cd	/	GET
20231005	12:57:57	64bbcd5f-9151-4b35-8288-c763d492069e	/css/style.css	GET
20231005	12:58:07	90a0b3c0-3091-48b0-a20a-861929d4f76c	/data/data.json	GET
20231005	12:58:27	e22c7487-9e18-4eed-8115-f803c11bdd36	/data/new-page.html	GET
20231005	12:58:27	2daa855f-3d8d-4cc4-96c0-c5a45266b154	/css/style.css	GET
20231005	13:00:14	9f999b66-6eea-480a-b887-912cf74f3d7b	/views/new-page.html	GET
20231005	13:00:14	a7587e0b-8e96-4d17-b85f-ffe8f9756287	/css/style.css	GET
20231005	13:00:19	a7442075-a9da-41e5-9505-fdb023d2d063	/views/	GET
20231005	13:00:19	ee353ded-5121-48bf-a717-f2100bd2aa8d	/css/style.css	GET
20231005	13:00:23	7358b7e4-bf31-4e17-b57a-c52a5ceb204a	/	GET
20231005	13:00:23	d7974fe5-cecb-4ae7-9553-c86ae4847905	/css/style.css	GET
20231005	13:00:33	e3e5bc7c-b326-4f95-a976-fd135215037d	/views/new-page.html	GET
20231005	13:00:33	8bda8f1a-6792-4edf-b559-d494a8f5cbb3	/css/style.css	GET
20231005	13:02:48	ba56b5bf-4937-4c73-b288-762eeac7098f	/	GET
20231005	13:02:48	a3b4eae5-2a5e-44d5-8b69-803fdffb98dd	/css/style.css	GET
20231005	13:02:57	36809161-2def-4486-9b54-81981036c944	/data/data.json	GET
20231005	13:04:21	6cb86ba4-202b-4047-967e-6fea2eea2563	/	GET
20231005	13:04:21	871b8c04-b034-4234-9f9a-a943cf3e4fe8	/css/style.css	GET
20231005	13:04:30	5b24b994-1a18-455e-bd28-b993c7b7b0ce	/data/data.json	GET
20231005	13:07:18	93c02b6e-263c-486c-82ad-4ee5dbaae1d8	/data/data.json	GET
20231005	13:12:31	d077cd04-abd9-4a53-80d4-f766400f4804	/views/new-page	GET
20231005	13:12:31	253cd866-426c-47c3-b161-1e942a639be3	/css/style.css	GET
20231005	13:12:36	df29409b-a7c5-4c91-85c0-6d0560c13918	/views/	GET
20231005	13:12:36	fcee1fb7-f710-4e14-9b6d-eabb4e09bd66	/css/style.css	GET
20231005	13:12:46	810b0070-85e0-4f8e-ad5b-f2417cd6b56a	/views/new-page.html	GET
20231005	13:12:46	8652dfd5-b923-45c3-9c10-fcc98e0a77d9	/css/style.css	GET
20231005	13:13:15	42a84006-6fa6-4e01-96df-4398134e5782	/views/new-page.html	GET
20231005	13:13:15	659c95fd-c385-4a17-b8c1-ac8077346a3e	/css/style.css	GET
20231005	13:13:26	ce7c85e2-2cc5-4d98-8fe2-a76fba6bb06a	/data/data.json	GET
20231005	13:14:18	c675e79e-8862-405a-99fc-c55ba415f320	/data/data.json	GET
20231005	13:14:18	43f36d4c-711f-43ca-8e02-2fc9ed82da5b	/data/data.json	GET
20231005	13:14:22	a84620b9-4bec-49da-be92-8a2ec3372568	/views/new-page.html	GET
20231005	13:14:22	c3e1abc6-11a8-4871-bf07-0f9dd0d8579e	/css/style.css	GET
20231005	13:14:25	70bf9ba1-fae8-4237-94c6-853b4fe3382a	/	GET
20231005	13:14:26	338e0f02-9d91-4d09-93d6-e0102bde3c14	/css/style.css	GET
